POSITION,URL,Salary,Website
Go Developer,https://hh.ru/vacancy/51478390?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Not stated,hh.ru
IOS разработчик,https://hh.ru/vacancy/51240276?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Not stated,hh.ru
Разработчик-аналитик / Middle Data Scientist,https://hh.ru/vacancy/51017375?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Not stated,hh.ru
Javascript frontend developer (Junior),https://hh.ru/vacancy/51221763?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,от 150 000 руб.,hh.ru
Frontend developer (UX),https://hh.ru/vacancy/51262187?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,от 3 000 USD,hh.ru
Инженер - программист (Junior),https://hh.ru/vacancy/51221776?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,от 150 000 руб.,hh.ru
Senior React (Web) Developer,https://hh.ru/vacancy/51368356?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,до 300 000 руб.,hh.ru
Инженер-программист,https://hh.ru/vacancy/51493769?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Not stated,hh.ru
Blockchain Developer(Solidity/rust),https://hh.ru/vacancy/51325705?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,500 – 6 000 USD,hh.ru
Go Developer,https://hh.ru/vacancy/51476471?from=vacancy_search_list&query=%D0%A0%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,Not stated,hh.ru
Front разработчик,superjob.ru/vakansii/front-razrabotchik-40764849.html,от 180 000 руб.,superjob.ru
Инженер-программист станков с ЧПУ,superjob.ru/vakansii/inzhener-programmist-stankov-s-chpu-35278748.html,от 60 000 руб.,superjob.ru
Асессор-разработчик,superjob.ru/vakansii/asessor-razrabotchik-37919017.html,По договорённости,superjob.ru
React-Native-разработчик,superjob.ru/vakansii/react-native-razrabotchik-41271870.html,По договорённости,superjob.ru
Fullstack PHP / Javascript / Mobile Developer,superjob.ru/vakansii/fullstack-php-41096135.html,до 250 000 руб.,superjob.ru
Frontend-разработчик,superjob.ru/vakansii/frontend-razrabotchik-31647040.html,По договорённости,superjob.ru
Программист-консультант 1С,superjob.ru/vakansii/programmist-konsultant-1s-40976886.html,По договорённости,superjob.ru
Инженер-программист станков с ЧПУ / Наладчик ЧПУ / Технолог-программист ЧПУ,superjob.ru/vakansii/inzhener-programmist-stankov-s-chpu-39920542.html,от 130 000 руб.,superjob.ru
Программист-оператор ЧПУ токарных / фрезерных станков,superjob.ru/vakansii/programmist-operator-chpu-tokarnyh-33832914.html,от 85 000 руб.,superjob.ru
Программист C++,superjob.ru/vakansii/programmist-c-39176708.html,до 240 000 руб.,superjob.ru
Системный программист С/C++,superjob.ru/vakansii/sistemnyj-programmist-s-40876530.html,до 150 000 руб.,superjob.ru
Программист станков с ЧПУ / Инженер-технолог,superjob.ru/vakansii/programmist-stankov-s-chpu-41202129.html,По договорённости,superjob.ru
Middle C# developer,superjob.ru/vakansii/middle-c-40273649.html,По договорённости,superjob.ru
Программист / Разработчик C# (удаленно),superjob.ru/vakansii/programmist-40976515.html,По договорённости,superjob.ru
Консультант-разработчик отдела ИТ,superjob.ru/vakansii/konsultant-razrabotchik-otdela-it-41173142.html,до 200 000 руб.,superjob.ru
Программист-разработчик C# (.NET),superjob.ru/vakansii/programmist-razrabotchik-c-40876312.html,По договорённости,superjob.ru
Инженер-разработчик / SQL Developer,superjob.ru/vakansii/inzhener-razrabotchik-41270733.html,По договорённости,superjob.ru
Backend developer / Middle Golang,superjob.ru/vakansii/backend-developer-40876106.html,от 170 000 руб.,superjob.ru
Веб-разработчик (1С-Битрикс),superjob.ru/vakansii/veb-razrabotchik-28120230.html,По договорённости,superjob.ru
Программист микроконтроллеров,superjob.ru/vakansii/programmist-mikrokontrollerov-41171297.html,По договорённости,superjob.ru
